respondent_id,age,gender,location,primary_issue,severity,needs_medical_help,needs_food,needs_shelter,needs_education,monthly_income,family_size,description
1,34,Male,Kendrapara,Flood Damage,Critical,Yes,Yes,Yes,No,4000,6,"Our entire house was destroyed in the flood. We have been living in a temporary shelter for 3 weeks. No clean drinking water available."
2,28,Female,Kendrapara,Lack of Clean Water,High,No,Yes,No,No,3500,4,"The flood contaminated our tube well. Children are getting sick due to dirty water. We need water purification tablets urgently."
3,45,Male,Jagatsinghpur,Medical Emergency,Critical,Yes,Yes,No,No,2000,7,"My wife is pregnant and we cannot reach the hospital due to broken roads. Need immediate medical assistance."
4,19,Female,Jagatsinghpur,Education Disruption,High,No,No,No,Yes,0,5,"School was completely destroyed in flood. 3 months have passed, children are not studying. We need temporary learning spaces."
5,52,Male,Kendrapara,Food Shortage,Critical,No,Yes,No,No,1500,8,"We lost all our crops. Family of 8 has not had proper food in 5 days. Elderly parents are very weak."
6,31,Female,Puri,Shelter Loss,Critical,No,Yes,Yes,No,3000,3,"House roof collapsed. Living under plastic sheets with 2 young children. Heavy rain expected again this week."
7,40,Male,Puri,Livelihood Loss,High,No,Yes,No,No,0,5,"I am a fisherman. All fishing equipment was destroyed. No income for 2 months. Cannot feed my family."
8,25,Female,Bhubaneswar,Medical Emergency,High,Yes,No,No,No,5000,2,"Flood water caused severe skin infections in our locality. No doctor is available. Need medical camp urgently."
9,60,Male,Kendrapara,Elderly Care,Critical,Yes,Yes,No,No,1000,2,"I am elderly with diabetes. Lost all medicines in flood. Cannot walk to relief camp. Need home delivery of medicines."
10,33,Female,Jagatsinghpur,Child Nutrition,Critical,Yes,Yes,No,Yes,2500,5,"My 3 children are malnourished. Youngest child (8 months) needs special nutrition. No anganwadi center is functional."
11,47,Male,Cuttack,Infrastructure,High,No,No,No,No,4500,4,"Main road to our village is broken. Relief trucks cannot reach us. We are completely cut off for 10 days."
12,22,Female,Cuttack,Mental Health,High,Yes,No,No,No,2000,3,"Lost my father in flood. Extreme trauma and depression. No mental health support available in our area."
13,38,Male,Puri,Sanitation,Critical,No,No,No,No,3500,6,"All toilets destroyed. Open defecation happening near water sources. Disease outbreak risk is very high."
14,29,Female,Bhubaneswar,Women Safety,High,No,No,Yes,No,1500,4,"Living in crowded relief camp. No separate facilities for women. Feeling very unsafe especially at night."
15,55,Male,Kendrapara,Agriculture Loss,High,No,Yes,No,No,0,7,"All 3 acres of paddy crop destroyed. Seeds for next season also lost. Cannot restart farming without help."
16,24,Female,Jagatsinghpur,Food Shortage,Critical,No,Yes,No,No,1000,3,"Single mother with 2 kids. No food for 3 days. Relief distribution point is 15km away, no transport."
17,41,Male,Kendrapara,Medical Emergency,Critical,Yes,Yes,No,No,2000,6,"Flood water caused severe diarrhea outbreak in our village. 12 people affected. No oral rehydration salts available."
18,36,Female,Puri,Child Education,High,No,No,No,Yes,3000,4,"Children traumatized by flood. Need psychosocial support and resumption of schooling urgently."
19,50,Male,Cuttack,Livelihood Loss,High,No,Yes,No,No,0,5,"My small shop was completely destroyed. Lost all inventory worth Rs 50,000. Need loan to restart."
20,27,Female,Bhubaneswar,Shelter Loss,Critical,No,Yes,Yes,No,2000,3,"Rental house collapsed. Landlord is not helping. Need immediate shelter support with infant baby."
21,43,Male,Kendrapara,Flood Damage,Critical,Yes,Yes,Yes,No,1500,8,"Village completely submerged. Entire family including elderly and children displaced. No relief reached yet."
22,32,Female,Jagatsinghpur,Lack of Clean Water,High,No,Yes,No,No,2500,4,"Water source contaminated with flood water. Cannot cook or drink. Children have stomach infections."
23,48,Male,Puri,Medical Emergency,Critical,Yes,No,No,No,3000,5,"Snake bite incident due to flood — snakes entering homes. No antivenom available at local health center."
24,26,Female,Cuttack,Child Nutrition,Critical,Yes,Yes,No,Yes,1000,4,"Severely malnourished children in our colony. NGO support stopped during flood. Need immediate nutrition kits."
25,39,Male,Bhubaneswar,Sanitation,High,No,No,No,No,4000,5,"Sewage system broken due to flood. Stagnant dirty water everywhere. Mosquito breeding increasing dengue risk."
